"","condition","cn","target_ICC","beta1","beta2","beta3","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6"
"17",17,120,0.8,0.3,0.3,0,1,0.924,1,0.186,0.914,1,0.986,0.433,1,0.21,0.895,0.022,0.034,1,1,1,1,0.05,1,1,1,1,0.061,1,1,0.998,1,1,0.997,0.005,0.006
"18",18,510,0.8,0.3,0.3,0,1,1,1,0.578,1,1,1,0.957,1,0.67,1,0.238,0.228,1,1,1,1,0.058,1,1,1,1,0.04,1,1,1,1,1,1,0.004,0.003
"19",19,30,0.2,0.3,0.5,0,0.964,0.999,0.96,0.427,0.795,0.965,0.998,0.135,0.939,0.351,0.69,0.042,0.052,1,1,1,1,0.064,0.99,0.994,0.983,0.987,0.078,1,1,1,0.999,1,0.999,0.005,0.005
"20",20,120,0.2,0.3,0.5,0,1,1,1,0.793,0.987,1,1,0.238,1,0.776,0.981,0.054,0.054,1,1,1,1,0.052,1,1,1,1,0.059,1,1,1,1,1,1,0.002,0
"21",21,510,0.2,0.3,0.5,0,1,1,1,1,1,1,1,0.211,1,1,1,0.031,0.033,1,1,1,1,0.055,1,1,1,1,0.052,1,1,1,1,1,1,0,0
"22",22,30,0.4,0.3,0.5,0,0.98,0.997,0.969,0.352,0.848,0.976,0.998,0.145,0.939,0.282,0.766,0.05,0.055,1,1,1,1,0.048,0.999,1,0.994,1,0.063,1,1,0.911,1,1,0.875,0.003,0.001
"23",23,120,0.4,0.3,0.5,0,1,1,1,0.724,1,1,1,0.254,1,0.708,1,0.052,0.061,1,1,1,1,0.046,1,1,1,1,0.062,1,1,1,1,1,1,0,0
"24",24,510,0.4,0.3,0.5,0,1,1,1,0.998,1,1,1,0.208,1,1,1,0.048,0.042,1,1,1,1,0.052,1,1,1,1,0.055,1,1,1,1,1,1,0,0
"25",25,30,0.8,0.3,0.5,0,0.951,0.888,0.949,0.187,0.871,0.963,0.91,0.134,0.932,0.16,0.802,0.045,0.05,1,1,1,1,0.046,1,1,1,1,0.059,1,1,0.619,1,1,0.513,0,0
"26",26,120,0.8,0.3,0.5,0,1,1,1,0.514,0.998,1,1,0.228,1,0.475,0.998,0.051,0.043,1,1,1,1,0.046,1,1,1,1,0.039,1,1,1,1,1,1,0,0
